Abadia de Goiás;5200050;43;49837429
Abadia dos Dourados;3100104;36;62385541
Abadiânia;5200100;88;43550964
Abaeté;3100203;8;728212378
Abaetetuba;1500107;72;35119787
Abaiara;2300101;40;10714386
Abaíra;2900108;60;3927387
Abaré;2900207;12;31395868
Abatiá;4100103;46;54274161
Abdon Batista;4200051;25;80808975
Abel Figueiredo;1500131;34;48410102
Abelardo Luz;4200101;89;7805784
Abre Campo;3100302;28;22113457
Abreu e Lima;2600054;54;63439189
Abreulândia;1700251;52;29489594
Acaiaca;3100401;67;16418834
Açailândia;2100055;99;53559493
Acajutiba;2900306;86;45494139
Acará;1500206;10;63782806
Acarape;2300150;39;94935063
Acaraú;2300200;75;78649628
Acari;2400109;62;37188725
Acauã;2200053;15;54274986
Aceguá;4300034;66;78748233
Acopiara;2300309;26;60950219
Acorizal;5100102;83;71143206
Acrelândia;1200013;31;83457442
Acreúna;5200134;79;92022065
Açu;2400208;95;95389944
Açucena;3100500;89;50918321
Adamantina;3500105;0;211945517
Adelândia;5200159;32;13275143
Adolfo;3500204;3;182250292
Adrianópolis;4100202;57;94647608
Adustina;2900355;83;72676087
Afogados da Ingazeira;2600104;30;97060252
Afonso Bezerra;2400307;61;35027715
Afonso Cláudio;3200102;68;38804354
Afonso Cunha;2100105;58;81657768
Afrânio;2600203;66;13081378
Afuá;1500305;20;90500077
Agrestina;2600302;4;62346068
Agricolândia;2200103;58;28730547
Agrolândia;4200200;41;596591
Agronômica;4200309;14;77178498
Água Azul do Norte;1500347;4;964383857
Água Boa;3100609;71;35569231
Água Boa;5100201;96;52746075
Água Branca;2200202;61;51615305
Água Branca;2500106;68;9728315
Água Branca;2700102;19;99695377
Água Clara;5000203;61;87155012
Água Comprida;3100708;41;20785773
Água Doce;4200408;54;7520748
Água Doce do Maranhão;2100154;23;95899823
Água Doce do Norte;3200169;11;92515123
Água Fria;2900405;11;54189493
Água Fria de Goiás;5200175;66;42848556
Água Limpa;5200209;43;2058028
Água Nova;2400406;45;98299153
Água Preta;2600401;84;34330141
Água Santa;4300059;60;82231487
Aguaí;3500303;40;70454755
Aguanil;3100807;86;7284195
Águas Belas;2600500;31;39813063
Águas da Prata;3500402;97;41218065
Águas de Chapecó;4200507;86;8017777
Águas de Lindóia;3500501;36;11578309
Águas de Santa Bárbara;3500550;77;23430127
Águas de São Pedro;3500600;67;81929592
Águas Formosas;3100906;89;46645563
Águas Frias;4200556;82;30580594
Águas Lindas de Goiás;5200258;8;830442618
Águas Mornas;4200606;94;40853148
Águas Vermelhas;3101003;78;67207358
Agudo;4300109;62;50646477
Agudos;3500709;95;72398817
Agudos do Sul;4100301;80;85937537
Águia Branca;3200136;75;28051432
Aguiar;2500205;64;7562231
Aguiarnópolis;1700301;17;26599325
Aimorés;3101102;36;2206443
Aiquara;2900603;1;185714368
Aiuaba;2300408;77;45241456
Aiuruoca;3101201;70;85489047
Ajuricaba;4300208;85;53710632
Alagoa;3101300;2;888892556
Alagoa Grande;2500304;37;43107317
Alagoa Nova;2500403;63;75510301
Alagoinha;2500502;90;29493765
Alagoinha;2600609;25;56958033
Alagoinha do Piauí;2200251;65;60473973
Alagoinhas;2900702;35;62841088
Alambari;3500758;29;91007973
Albertina;3101409;7;69797446
Alcântara;2100204;56;57200541
Alcântaras;2300507;80;55076334
Alcantil;2500536;46;9999997
Alcinópolis;5000252;78;33590435
Alcobaça;2900801;39;39082123
Aldeias Altas;2100303;94;48334288
Alecrim;4300307;52;76021347
Alegre;3200201;21;56345911
Alegrete;4300406;60;35975308
Alegrete do Piauí;2200277;6;722212542
Alegria;4300455;79;823576
Além Paraíba;3101508;4;423259611
Alenquer;1500404;3;392308918
Alexandria;2400505;21;5848608
Alexânia;5200308;87;4640485
Alfenas;3101607;23;647227
Alfredo Chaves;3200300;93;93165086
Alfredo Marcondes;3500808;89;80676971
Alfredo Vasconcelos;3101631;93;16546675
Alfredo Wagner;4200705;49;97393659
Algodão de Jandaíra;2500577;81;20825442
Alhandra;2500601;81;77166104
Aliança;2600708;15;94126339
Aliança do Tocantins;1700350;33;71413221
Almadina;2900900;4;282267438
Almas;1700400;30;749045
Almeirim;1500503;83;75977874
Almenara;3101706;85;9893696
Almino Afonso;2400604;1;568587193
Almirante Tamandaré;4100400;69;85409145
Almirante Tamandaré do Sul;4300471;98;38886214
Aloândia;5200506;9;341473293
Alpercata;3101805;60;11660752
Alpestre;4300505;38;72858944
Alpinópolis;3101904;48;94479747
Alta Floresta;5100250;2;306851842
Alta Floresta D'Oeste;1100015;54;27717029
Altair;3500907;46;34151269
Altamira;1500602;51;38656906
Altamira do Maranhão;2100402;10;12703069
Altamira do Paraná;4100459;42;25505051
Altaneira;2300606;84;72613454
Alterosa;3102001;26;8590703
Altinho;2600807;37;92037789
Altinópolis;3501004;74;5730062
Alto Alegre;1400050;51;12773299
Alto Alegre;3501103;87;85552217
Alto Alegre;4300554;80;23374881
