Zortéa,4219853,22,9468083
Zé Doca,2114007,7,762217967
Zacarias,3557154,99,95619421
Zabelê,2517407,23,73029961
Xique-Xique,2933604,85,70776349
Xinguara,1508407,87,66688175
Xexéu,2616506,71,75692794
Xaxim,4219705,38,531318
Xavantina,4219606,91,48518218
Xapuri,1200708,14,85320538
Xanxerê,4219507,64,76298905
Xangri-lá,4323804,70,79575227
Xambrê,4128807,18,12397108
Xambioá,1722107,13,20151277
Witmarsum,4219408,10,30888052
Westfalia,4323770,48,24454286
Wenceslau Guimarães,2933505,95,74179918
Wenceslau Braz,3172202,71,6722917
Wenceslau Braz,4128500,71,1488991
Wanderley,2933455,1,178782752
Wanderlândia,1722081,33,27261454
Wall Ferraz,2211704,43,11525274
Wagner,2933406,55,69849285
Votuporanga,3557105,39,46131824
Votorantim,3557006,81,78325044
Volta Redonda,3306305,74,89320728
Volta Grande,3172103,82,18108454
Vitorino Freire,2113009,1,959281668
Vitorino,4128708,20,818882
Vitória do Xingu,1508357,96,67588397
Vitória do Mearim,2112902,9,73753851
Vitória do Jari,1600808,53,94155905
Vitória de Santo Antão,2616407,19,5113562
Vitória das Missões,4323754,21,90981328
Vitória da Conquista,2933307,51,91143716
Vitória Brasil,3556958,62,45956945
Vitória,3205309,95,9433331
Vitor Meireles,4219358,64,57607234
Vista Serrana,2505501,45,44698879
Vista Gaúcha,4323705,21,68491978
Vista Alegre do Prata,4323606,27,39247957
Vista Alegre do Alto,3556909,96,19793731
Vista Alegre,4323507,28,2616648
Viseu,1508308,3,46686553
Visconde do Rio Branco,3172004,28,80627037
Virmond,4128658,2,448948132
Virgolândia,3171907,43,7176939
Virginópolis,3171808,7,854772246
Virgínia,3171709,35,99893481
Virgem da Lapa,3171600,89,62654795
Viradouro,3556800,26,36428525
Vinhedo,3556701,85,77163973
Vilhena,1100304,73,37473937
Vila Velha,3205200,32,8800128
Vila Valério,3205176,59,8213769
Vila Rica,5108600,80,7587816
Vila Propício,5222302,29,47086983
Vila Pavão,3205150,27,10611187
Vila Nova dos Martírios,2112852,11,39176685
Vila Nova do Sul,4323457,38,93865981
Vila Nova do Piauí,2211605,11,38600444
Vila Maria,4323408,84,69222281
Vila Lângaro,4323358,91,56495743
Vila Flores,4323309,21,54129764
Vila Flor,2415008,60,78275067
Vila Boa,5222203,94,1987026
Vila Bela da Santíssima Trindade,5105507,83,3262561
Vigia,1508209,59,11319773
Vieirópolis,2517209,7,863582464
Vieiras,3171402,43,96959695
Videira,4219309,66,32844457
Vidal Ramos,4219200,3,2303725
Victor Graeff,4323200,57,873069
Viçosa do Ceará,2314102,79,95054983
Viçosa,2414902,94,7704097
Viçosa,2709400,29,12662775
Viçosa,3171303,35,44796164
Vicentinópolis,5222054,71,60691539
Vicentina,5008404,23,97517419
Vicente Dutra,4323101,26,89588028
Vicência,2616308,98,15518875
Vianópolis,5222005,52,94173818
Viana,2112803,33,6011687
Viana,3205101,47,34357033
Viamão,4323002,58,4619298
Viadutos,4322905,32,14553569
Vespasiano Correa,4322855,70,79897944
Vespasiano,3171204,34,28266422
Vertentes,2616209,3,147593401
Vertente do Lério,2616183,29,97539738
Vermelho Novo,3171154,81,43068709
Veríssimo,3171105,47,48576725
Veredinha,3171071,64,4435677
Vereda,2933257,32,56259295
Verê,4128609,48,48744241
Verdelândia,3171030,18,56215607
Verdejante,2616100,88,8325343
Veranópolis,4322806,45,38764721
Vera Mendes,2211506,62,351379
Vera Cruz do Oeste,4128559,47,5840604
Vera Cruz,2414803,50,75267879
Vera Cruz,2933208,71,64209404
Vera Cruz,3556602,86,70298482
Vera Cruz,4322707,56,66301385
Vera,5108501,16,6017416
Venturosa,2616001,93,84786859
Ventania,4128534,12,60537336
Venha-Ver,2414753,66,64004101
Venda Nova do Imigrante,3205069,12,50152971
Venâncio Aires,4322608,89,53713614
Vazante,3171006,51,70897016
Vassouras,3306206,64,7488758
Varzelândia,3170909,13,27870715
Varzedo,2933174,60,11052718
Várzea Paulista,3556503,15,36417507
Várzea Nova,2933158,73,86071693
Várzea Grande,2211407,51,48297451
Várzea Grande,5108402,65,6245541
Várzea do Poço,2933109,15,61574889
Várzea da Roça,2933059,77,14679362
Várzea da Palma,3170800,9,566947015
Várzea Branca,2211357,43,98870502
Várzea Alegre,2314003,35,18458279
Várzea,2414704,69,64916043
Várzea,2517100,48,79442303
Varre-Sai,3306156,32,95554358
Varjota,2313955,85,99783216
Varjão de Minas,3170750,55,80123364
Varjão,5221908,43,34259493
Varginha,3170701,78,709008
Vargem Grande Paulista,3556453,71,67283138
Vargem Grande do Sul,3556404,68,55223775
Vargem Grande do Rio Pardo,3170651,48,96560478
Vargem Grande,2112704,5,86957367
Vargem Bonita,3170602,48,85265294
Vargem Bonita,4219176,6,479590859
Vargem Alta,3205036,40,95627507
Vargem Alegre,3170578,69,13926912
Vargem,3556354,94,52834018
Vargem,4219150,59,36438574
Vargeão,4219101,34,28486158
Vanini,4322558,9,886419012
Valparaíso de Goiás,5221858,6,680577918
Valparaíso,3556305,7,23302637
Valinhos,3556206,50,50553838
Valentim Gentil,3556107,42,95438514
Valente,2933000,11,64199261
Valença do Piauí,2211308,73,30251774
Valença,2932903,24,7743264
Valença,3306107,59,6598343
Vale Verde,4322525,70,44511101
Vale Real,4322541,36,6030192
Vale do Sol,4322533,65,7503495
Vale do Paraíso,1101807,18,8562744
Vale do Anari,1101757,56,9084083
Vale de São Domingos,5108352,95,84937132
Vacaria,4322509,60,20974763
Utinga,2932804,34,13084639
Urutaí,5221809,59,78433314
Urussanga,4219002,38,64535986
Urupês,3556008,56,76610619
Urupema,4218954,93,44671614
Urupá,1101708,93,54865509
Uruoca,2313906,56,8011016
Uruguaiana,4322400,26,30342808
Urucurituba,1304401,12,35297301
Urucuia,3170529,3,163289922
Uruçuí,2211209,55,83418829
Uruçuca,2932705,95,50764577
Urucará,1304302,87,58337982
Urucânia,3170503,65,24097415
Uruburetama,2313807,22,79895312
Urubici,4218905,87,86932432
Uruará,1508159,49,82502742
Uruana de Minas,3170479,51,10151737
Uruana,5221700,28,29800412
Uruaçu,5221601,0,817210291
Uru,3555901,99,70113873
Urbano Santos,2112605,89,83751499
Urânia,3555802,87,48736444
Urandi,2932606,89,28760811
Uraí,4128401,78,36025573
Upanema,2414605,90,6098115
Unistalda,4322376,40,45535243
Uniflor,4128302,18,70717883
União Paulista,3555703,24,67874714
União dos Palmares,2709301,21,72739352
União do Sul,5108303,62,96092297
União do Oeste,4218855,36,1468935
União de Minas,3170438,20,1011221
União da Vitória,4128203,99,248829
União da Serra,4322350,85,6277717
União,2211100,56,9344619
Unaí,3170404,32,33673572
Una,2932507,62,684157
Umuarama,4128104,23,3790819
Umirim,2313757,52,49765022
Umbuzeiro,2517001,41,287619
Umburatiba,3170305,2,64725857
Umburanas,2932457,89,95305643
Umbaúba,2807600,6,243680155
Umarizal,2414506,82,48766955
Umari,2313708,95,98696376
Ulianópolis,1508126,9,151729331
Uiraúna,2516904,26,35410744
Uirapuru,5221577,57,6932505
Uiramutã,1400704,39,91124414
Uibaí,2932408,47,55724161
Uchoa,3555604,54,5386635
Ubiretama,4322343,16,38081456
Ubiratã,4128005,78,39284246
Ubirajara,3555505,61,51661427
Uberlândia,3170206,99,20308992
Uberaba,3170107,95,11030329
Ubatuba,3555406,47,90388576
Ubatã,2932309,87,42555176
Ubarana,3555356,19,63467346
Ubaporanga,3170057,12,2791115
Ubajara,2313609,7,354973063
Ubaitaba,2932200,72,88267262
Ubaíra,2932101,80,68098854
Ubaí,3170008,89,24137758
Ubá,3169901,95,58279797
Uauá,2932002,33,27110517
Uarini,1304260,82,77641044
Tutóia,2112506,87,8873158
Turvolândia,3169802,83,27001358
Turvo,4127965,31,95617059
Turvo,4218806,6,754481884
Turvelândia,5221551,48,69443954
Turvânia,5221502,48,4061474
Tururu,2313559,97,32578274
Turuçu,4322327,88,6577264
Turmalina,3169703,24,55648187
Turmalina,3555307,2,466022988
Turiúba,3555208,39,48749383
Turilândia,2112456,79,2343531
Turiaçu,2112407,62,53570253
Tupiratins,1721307,4,253014029
Tupirama,1721257,78,87518496
Tupi Paulista,3555109,1,187781032
Tupãssi,4127957,52,38398553
Tuparetama,2615904,52,37771603
Tuparendi,4322301,18,69436682
Tupandi,4322251,58,6889322
Tupanciretã,4322202,10,59395955
Tupanci do Sul,4322186,84,51960178
Tupanatinga,2615805,4,305948834
Tupaciguara,3169604,58,26844249
Tupã,3555000,10,26032304
Tuntum,2112308,0,214828377
Tuneiras do Oeste,4127908,48,40106489
Tunas do Paraná,4127882,15,46721665
Tunas,4322152,73,82822109
Tunápolis,4218756,32,61294677
Tumiritinga,3169505,6,973868037
Tuiuti,3554953,47,93665545
Tufilândia,2112274,99,12773181
Tucuruí,1508100,99,50786688
Tucunduva,4322103,5,95025921
Tucumã,1508084,48,60727552
Tucano,2931905,25,51602431
Tubarão,4218707,16,55061546
Trombudo Central,4218608,18,8211951
Trombas,5221452,40,72368756
Trizidela do Vale,2112233,21,97446862
Triunfo Potiguar,2414456,33,7826728
Triunfo,2516805,12,72914309
Triunfo,2615706,89,8352815
Triunfo,4322004,26,67697226
Trindade do Sul,4321956,49,71994086
Trindade,2615607,10,19527924
Trindade,5221403,90,27122428
Treze Tílias,4218509,95,35887389
Treze de Maio,4218400,36,52324481
Treviso,4218350,82,18983818
Três Rios,3306008,60,6779924
Três Ranchos,5221304,16,96822104
Três Pontas,3169406,95,77138944
Três Passos,4321907,89,2737351
Três Palmeiras,4321857,26,36427417
Três Marias,3169356,71,22180782
Três Lagoas,5008305,41,9041061
Três Fronteiras,3554904,97,676504
Três Forquilhas,4321832,82,78481404
Três de Maio,4321808,6,224487825
Três Coroas,4321709,6,844764569
Três Corações,3169307,27,88981786
Três Cachoeiras,4321667,18,15863834
Três Barras do Paraná,4127858,87,40591829
Três Barras,4218301,81,71178719
Três Arroios,4321634,47,63150795
Tremembé,3554805,61,8961484
Tremedal,2931806,72,44678626
Travesseiro,4321626,92,602633
Tramandaí,4321600,37,4039949
Trajano de Moraes,3305901,12,75561688
Trairi,2313500,4,63442559
Trairão,1508050,14,96261916
Traipu,2709202,55,24459949
Tracunhaém,2615508,51,70994916
Tracuateua,1508035,84,98840423
Trabiju,3554755,81,58817928
Touros,2414407,90,9069099
Torrinha,3554706,75,19983372
Torres,4321501,62,76290633
Torre de Pedra,3554656,15,67291514
Toropi,4321493,39,79750791
Torixoréu,5108204,6,142878672
Toritama,2615409,95,73742314
Tonantins,1304237,63,96603573
Tomé-Açu,1508001,3,689419117
Tombos,3169208,98,15414661
Tomazina,4127809,53,26453441
Tomar do Geru,2807501,22,53722429
Toledo,3169109,60,45168818
Toledo,4127700,61,89003824
Tocos do Moji,3169059,63,19356824
Tocantins,3169000,82,14984003
Tocantinópolis,1721208,64,10452397
Tocantínia,1721109,56,85976724
Tobias Barreto,2807402,18,85497088
Tiros,3168903,71,87141055
Tiradentes do Sul,4321477,89,97669132
Tiradentes,3168804,66,59369827
Tio Hugo,4321469,16,79356341
Timóteo,3168705,97,55050957
Timon,2112209,1,991467088
Timburi,3554607,39,77497929
Timbó Grande,4218251,3,837595017
Timbó,4218202,98,63541708
Timbiras,2112100,27,10606327
Timbé do Sul,4218103,23,2042746
Timbaúba dos Batistas,2414308,46,8318122
Timbaúba,2615300,1,25610758
Tijucas do Sul,4127601,87,3078039
Tijucas,4218004,19,72241517
Tigrinhos,4217956,72,87184256
Tietê,3554508,43,28525109
Tibau do Sul,2414209,75,75808601
Tibau,2411056,54,99444697
Tibagi,4127502,64,46640635
Tianguá,2313401,37,80997993
Theobroma,1101609,14,60314148
Teutônia,4321451,97,986458
Tesouro,5108105,96,13246459
Terra Santa,1507979,6,641454453
Terra Roxa,3554409,30,76812487
Terra Roxa,4127403,6,474303256
Terra Rica,4127304,62,63817031
